,City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Windspeed
0,Vostok,clear sky,72,46.45,135.83,-13.5,1.58
1,Ushuaia,shower rain,75,-54.81,-68.31,7.0,14.4
2,Hervey Bay,broken clouds,96,-25.3,152.85,24.76,6.73
3,Pizarro,light rain,99,4.95,-77.37,25.01,2.78
4,Vozrozhdeniye,light snow,92,60.86,28.96,-5.0,4.1
5,Trebic,light snow,80,49.21,15.88,-1.54,4.6
6,Portland,clear sky,86,45.52,-122.67,0.88,0.33
7,Kaitangata,light rain,94,-46.28,169.85,15.16,1.23
8,Jumla,clear sky,71,29.28,82.18,4.31,0.33
9,Bluff,light rain,69,-23.58,149.07,25.61,5.48
10,Cheyenne,clear sky,58,41.14,-104.82,-5.07,5.1
11,Tautira,few clouds,74,-17.73,-149.15,26.0,3.1
12,Westport,clear sky,48,53.8,-9.52,6.0,2.1
13,Fortuna,scattered clouds,28,38.18,-1.13,14.0,9.8
14,Bangkalan,light rain,89,-7.05,112.74,27.56,3.43
15,Erdenet,scattered clouds,57,49.03,104.04,3.61,1.68
16,Fleetwood,clear sky,36,40.45,-75.82,-1.01,5.1
17,Altamira,broken clouds,94,-3.2,-52.21,25.0,2.1
18,Imeni Zhelyabova,overcast clouds,86,58.95,36.6,0.51,3.53
19,Severo-Yeniseyskiy,broken clouds,63,60.37,93.04,-4.2,5.13
20,Arlit,clear sky,26,18.74,7.39,35.91,2.13
21,Erenhot,clear sky,43,43.65,111.97,3.61,3.48
22,Esperance,few clouds,74,10.24,-61.45,26.0,1.88
23,Kiama,broken clouds,100,-34.67,150.86,16.0,6.2
24,Bonoua,scattered clouds,70,5.27,-3.6,31.0,5.7
25,Kotelnikovo,light rain,100,47.63,43.14,1.41,5.48
26,Aksu,clear sky,73,52.04,76.93,-3.0,6.0
27,Tiznit,clear sky,85,29.7,-9.73,17.96,1.18
28,Samarai,overcast clouds,100,-10.62,150.67,26.31,1.33
29,Eirunepe,scattered clouds,93,-6.66,-69.87,23.51,1.33
30,Nome,clear sky,58,30.04,-94.42,11.47,5.1
31,Sabancuy,clear sky,87,18.97,-91.18,27.36,5.63
32,Auki,clear sky,27,12.18,6.51,37.26,4.13
33,Cherskiy,clear sky,41,68.75,161.3,-32.45,1.08
34,Mana,mist,74,43.52,20.24,-0.17,1.0
35,Modakeke,light rain,90,7.38,4.27,30.21,1.98
36,Anloga,few clouds,66,5.79,0.9,32.0,6.7
37,Faya,scattered clouds,21,18.39,42.45,28.04,6.2
38,Lata,few clouds,50,30.78,78.62,13.61,0.38
39,Saint Anthony,few clouds,92,43.97,-111.68,-2.64,1.53
40,Kavieng,few clouds,99,-2.57,150.8,29.21,5.23
41,Inhambane,scattered clouds,66,-23.87,35.38,30.0,5.1
42,Broome,scattered clouds,70,52.47,1.45,6.6,6.7
43,Melilla,broken clouds,88,-0.8,-80.23,23.0,1.88
44,Daru,broken clouds,81,7.99,-10.85,27.51,2.08
45,General Pico,clear sky,45,-35.66,-63.75,15.56,8.43
46,Kruisfontein,clear sky,85,-34.0,24.73,21.61,3.58
47,Debre Tabor,light rain,47,11.86,38.01,23.71,0.78
48,Nyurba,clear sky,85,63.29,118.35,-9.3,3.13
